1_1	What is a physician's assistant?
1_2	What are the educational requirements required to become one?
1_3	What does it cost?
1_4	What's the average starting salary in the UK?
1_5	What about in the US?
1_6	What school subjects are needed to become a registered nurse?
1_7	What is the PA average salary vs an RN?
1_8	What the difference between a PA and a nurse practitioner?
1_9	Do NPs or PAs make more?
1_10	Is a PA above a NP?
1_11	What is the fastest way to become a NP?
1_12	How much longer does it take to become a doctor after being an NP?
2_1	What are the main breeds of goat?
2_2	Tell me about boer goats.
2_3	What breed is good for meat?
2_4	Are angora goats good for it?
2_5	What about boer goats?
2_6	What are pygmies used for?
2_7	What is the best for fiber production?
2_8	How long do Angora goats live?
2_9	Can you milk them?
2_10	How many can you have per acre?
2_11	Are they profitable?
4_1	What was the neolithic revolution?
4_2	When did it start and end?
4_3	Why did it start?
4_4	What did the neolithic invent?
4_5	What tools were used?
4_6	When was it brought to the british isles?
4_7	Describe the period that follows it.
4_8	What was its significance?
4_9	What were the houses like?
7_1	What are the different types of macromolecules?
7_2	Tell me about the characteristics of carbohydrates.
7_3	What are they composed of?
7_4	What is their basic structure?
7_5	What are the main types with examples of each?
7_6	Tell me about lipids.
7_7	What is their function?
7_8	What are the types?
7_9	What is the most common?
7_10	What is the difference between them and carbohydrates?
7_11	Why are carbs better?
15_1	Tell me about the International Linguistics Olympiad.
15_2	How do I prepare for it?
15_3	How tough is the exam?
15_4	What kind of problems can I expect?
15_5	Tell me about the history of linguistics as a field.
15_6	Who was Panini and what were his contributions?
15_7	What is the link between linguistics and computer science?
17_1	What are the different forms of energy?
17_2	How can it be stored?
17_3	What type of energy is used in motion?
17_4	Tell me about mechanical energy.
17_5	Give me some examples.
17_6	Why is sound a form of mechanical energy?
17_7	How does it differ from potential energy?
17_8	Are potential and kinetic the same?
17_9	What type does chemical energy belong to?
17_10	What form of energy is used in eating?
18_1	Describe Uranus.
18_2	What makes it so unusual?
18_3	Tell me about its orbit.
18_4	Why is it tilted?
18_5	How is its rotation different from other planets?
18_6	What is peculiar about its seasons?
18_7	Are there any other planets similar to it?
18_8	Describe the characteristics of Neptune.
18_9	Why is it important to our solar system?
18_10	How are these two planets similar to each other?
18_11	Can life exist on either of them?
22_1	What are the most common spices used in cooking?
22_2	How are they different from herbs?
22_3	Why do spices taste good?
22_4	Where do most of them come from?
22_5	What cuisines use them heavily?
22_6	What are the most popular Indian ones?
22_7	Tell me about turmeric.
22_8	Are there any benefits of consuming it?
22_9	What is the oldest spice?
22_10	What is the most expensive and why?
23_1	What are the main types of cattle farming?
23_2	What breeds produce the most milk?
23_3	How much do Holsteins produce?
23_4	What is special about Jersey milk?
23_5	Do we eat dairy cows?
23_6	What are the most common breeds for meat?
23_7	Where are angus beef from?
23_8	How much space do they need?
24_1	How can I help my friend stop smoking?
24_2	What are its long term effects?
24_3	Does it cause cancer?
24_4	What makes it so addictive?
24_5	Are there any alternatives to nicotine?
24_6	How effective are the patches?
24_7	Tell me about the cold turkey method.
24_8	Describe typical withdrawal symptoms.
25_1	Tell me about Orca whales.
25_2	Are they really whales?
25_3	How do they hunt?
25_4	What do they eat?
25_5	Where did they get their name?
25_6	Are they dangerous?
25_7	Where can go to watch them?
25_8	When is a good season for spotting them?
25_9	How does captivity affect them? 
27_1	What comprises a balanced diet?
27_2	Is it the same for men as well as women?
27_3	What are some specific recommendations for women?
27_4	Are dairy products necessary for a good health?
27_5	Can it harm you instead?
27_6	How necessary is fiber?
27_7	What happens if it's consumed in a smaller amount than recommended?
30_1	What are some advantages of using Linux?
30_2	Can I run Windows software in it?
30_3	How does it compare to Windows?
30_4	Which of these is more popular?
30_5	How do I install software on it?
30_6	What is an easy way to install Python?
30_7	Tell me about how I can share files.
